store_code,schedule_date,employee_id,slot_index,slot_start,slot_end,status_code,status_cn
US00001,2026-06-11,US202605190012,35,17:30,18:00,休,rest
US00001,2026-06-11,US202605190012,36,18:00,18:30,休,rest
US00001,2026-06-11,US202605190012,37,18:30,19:00,班,on_duty
US00001,2026-06-11,US202605190012,38,19:00,19:30,班,on_duty
US00001,2026-06-11,US202605190012,39,19:30,20:00,班,on_duty
US00001,2026-06-11,US202605190012,40,20:00,20:30,班,on_duty
US00001,2026-06-11,US202605190012,41,20:30,21:00,班,on_duty
US00001,2026-06-11,US202605190012,42,21:00,21:30,班,on_duty
US00001,2026-06-11,US202605190012,43,21:30,22:00,班,on_duty
US00001,2026-06-11,US202605260005,27,13:30,14:00,班,on_duty
US00001,2026-06-11,US202605260005,28,14:00,14:30,班,on_duty
US00001,2026-06-11,US202605260005,29,14:30,15:00,班,on_duty
US00001,2026-06-11,US202605260005,30,15:00,15:30,班,on_duty
US00001,2026-06-11,US202605260005,31,15:30,16:00,班,on_duty
US00001,2026-06-11,US202605260005,32,16:00,16:30,班,on_duty
US00001,2026-06-11,US202605260005,33,16:30,17:00,班,on_duty
US00001,2026-06-11,US202605260005,34,17:00,17:30,班,on_duty
US00001,2026-06-11,US202605260005,35,17:30,18:00,班,on_duty
US00001,2026-06-11,US202605260005,36,18:00,18:30,休,rest
US00001,2026-06-11,US202605260005,37,18:30,19:00,休,rest
US00001,2026-06-11,US202605260005,38,19:00,19:30,班,on_duty
US00001,2026-06-11,US202605260005,39,19:30,20:00,班,on_duty
US00001,2026-06-11,US202605260005,40,20:00,20:30,班,on_duty
US00001,2026-06-11,US202605260005,41,20:30,21:00,班,on_duty
US00001,2026-06-11,US202605260005,42,21:00,21:30,班,on_duty
US00001,2026-06-11,US202605260005,43,21:30,22:00,班,on_duty
US00001,2026-06-12,US202506260003,12,06:00,06:30,班,on_duty
US00001,2026-06-12,US202506260003,13,06:30,07:00,班,on_duty
US00001,2026-06-12,US202506260003,14,07:00,07:30,班,on_duty
US00001,2026-06-12,US202506260003,15,07:30,08:00,班,on_duty
US00001,2026-06-12,US202506260003,16,08:00,08:30,班,on_duty
US00001,2026-06-12,US202506260003,17,08:30,09:00,班,on_duty
US00001,2026-06-12,US202506260003,18,09:00,09:30,班,on_duty
US00001,2026-06-12,US202506260003,19,09:30,10:00,班,on_duty
US00001,2026-06-12,US202506260003,20,10:00,10:30,班,on_duty
US00001,2026-06-12,US202506260003,21,10:30,11:00,班,on_duty
US00001,2026-06-12,US202506260003,22,11:00,11:30,班,on_duty
US00001,2026-06-12,US202506260003,23,11:30,12:00,班,on_duty
US00001,2026-06-12,US202506260003,24,12:00,12:30,班,on_duty
US00001,2026-06-12,US202506260003,25,12:30,13:00,休,rest
US00001,2026-06-12,US202506260003,26,13:00,13:30,休,rest
US00001,2026-06-12,US202506260003,27,13:30,14:00,班,on_duty
US00001,2026-06-12,US202506260003,28,14:00,14:30,班,on_duty
US00001,2026-06-12,US202507090006,12,06:00,06:30,班,on_duty
US00001,2026-06-12,US202507090006,13,06:30,07:00,班,on_duty
US00001,2026-06-12,US202507090006,14,07:00,07:30,班,on_duty
US00001,2026-06-12,US202507090006,15,07:30,08:00,班,on_duty
US00001,2026-06-12,US202507090006,16,08:00,08:30,班,on_duty
US00001,2026-06-12,US202507090006,17,08:30,09:00,班,on_duty
US00001,2026-06-12,US202507090006,18,09:00,09:30,班,on_duty
US00001,2026-06-12,US202507090006,19,09:30,10:00,班,on_duty
US00001,2026-06-12,US202507090006,20,10:00,10:30,班,on_duty
US00001,2026-06-12,US202507090006,21,10:30,11:00,班,on_duty
US00001,2026-06-12,US202507090006,22,11:00,11:30,班,on_duty
US00001,2026-06-12,US202507090006,23,11:30,12:00,班,on_duty
US00001,2026-06-12,US202507090006,24,12:00,12:30,休,rest
US00001,2026-06-12,US202507090006,25,12:30,13:00,休,rest
US00001,2026-06-12,US202507090006,26,13:00,13:30,班,on_duty
US00001,2026-06-12,US202509160006,24,12:00,12:30,班,on_duty
US00001,2026-06-12,US202509160006,25,12:30,13:00,班,on_duty
US00001,2026-06-12,US202509160006,26,13:00,13:30,班,on_duty
US00001,2026-06-12,US202509160006,27,13:30,14:00,班,on_duty
US00001,2026-06-12,US202509160006,28,14:00,14:30,休,rest
US00001,2026-06-12,US202509160006,29,14:30,15:00,班,on_duty
US00001,2026-06-12,US202509160006,30,15:00,15:30,班,on_duty
US00001,2026-06-12,US202509160006,31,15:30,16:00,班,on_duty
US00001,2026-06-12,US202509160006,32,16:00,16:30,班,on_duty
US00001,2026-06-12,US202509160006,33,16:30,17:00,班,on_duty
US00001,2026-06-12,US202512220003,27,13:30,14:00,班,on_duty
US00001,2026-06-12,US202512220003,28,14:00,14:30,班,on_duty
US00001,2026-06-12,US202512220003,29,14:30,15:00,班,on_duty
US00001,2026-06-12,US202512220003,30,15:00,15:30,班,on_duty
US00001,2026-06-12,US202512220003,31,15:30,16:00,班,on_duty
US00001,2026-06-12,US202512220003,32,16:00,16:30,班,on_duty
US00001,2026-06-12,US202512220003,33,16:30,17:00,班,on_duty
US00001,2026-06-12,US202512220003,34,17:00,17:30,班,on_duty
US00001,2026-06-12,US202512220003,35,17:30,18:00,休,rest
US00001,2026-06-12,US202512220003,36,18:00,18:30,休,rest
US00001,2026-06-12,US202512220003,37,18:30,19:00,班,on_duty
US00001,2026-06-12,US202512220003,38,19:00,19:30,班,on_duty
US00001,2026-06-12,US202512220003,39,19:30,20:00,班,on_duty
US00001,2026-06-12,US202512220003,40,20:00,20:30,班,on_duty
US00001,2026-06-12,US202512220003,41,20:30,21:00,班,on_duty
US00001,2026-06-12,US202512220003,42,21:00,21:30,班,on_duty
US00001,2026-06-12,US202512220003,43,21:30,22:00,班,on_duty
US00001,2026-06-12,US202512220008,27,13:30,14:00,班,on_duty
US00001,2026-06-12,US202512220008,28,14:00,14:30,班,on_duty
US00001,2026-06-12,US202512220008,29,14:30,15:00,班,on_duty
US00001,2026-06-12,US202512220008,30,15:00,15:30,班,on_duty
US00001,2026-06-12,US202512220008,31,15:30,16:00,班,on_duty
US00001,2026-06-12,US202512220008,32,16:00,16:30,班,on_duty
US00001,2026-06-12,US202512220008,33,16:30,17:00,班,on_duty
US00001,2026-06-12,US202512220008,34,17:00,17:30,休,rest
US00001,2026-06-12,US202512220008,35,17:30,18:00,休,rest
US00001,2026-06-12,US202512220008,36,18:00,18:30,班,on_duty
US00001,2026-06-12,US202512220008,37,18:30,19:00,班,on_duty
US00001,2026-06-12,US202512220008,38,19:00,19:30,班,on_duty
US00001,2026-06-12,US202512220008,39,19:30,20:00,班,on_duty
US00001,2026-06-12,US202512220008,40,20:00,20:30,班,on_duty
US00001,2026-06-12,US202512220008,41,20:30,21:00,班,on_duty
US00001,2026-06-12,US202512220008,42,21:00,21:30,班,on_duty
US00001,2026-06-12,US202512220008,43,21:30,22:00,班,on_duty
US00001,2026-06-12,US202605120007,27,13:30,14:00,班,on_duty
US00001,2026-06-12,US202605120007,28,14:00,14:30,班,on_duty
US00001,2026-06-12,US202605120007,29,14:30,15:00,班,on_duty
US00001,2026-06-12,US202605120007,30,15:00,15:30,班,on_duty
US00001,2026-06-12,US202605120007,31,15:30,16:00,班,on_duty
US00001,2026-06-12,US202605120007,32,16:00,16:30,班,on_duty
US00001,2026-06-12,US202605120007,33,16:30,17:00,休,rest
US00001,2026-06-12,US202605120007,34,17:00,17:30,休,rest
US00001,2026-06-12,US202605120007,35,17:30,18:00,班,on_duty
US00001,2026-06-12,US202605120007,36,18:00,18:30,班,on_duty
US00001,2026-06-12,US202605120007,37,18:30,19:00,班,on_duty
US00001,2026-06-12,US202605120007,38,19:00,19:30,班,on_duty
US00001,2026-06-12,US202605120007,39,19:30,20:00,班,on_duty
US00001,2026-06-12,US202605120007,40,20:00,20:30,班,on_duty
US00001,2026-06-12,US202605120007,41,20:30,21:00,班,on_duty
US00001,2026-06-12,US202605120007,42,21:00,21:30,班,on_duty
US00001,2026-06-12,US202605120007,43,21:30,22:00,班,on_duty
US00001,2026-06-12,US202605260005,27,13:30,14:00,班,on_duty
US00001,2026-06-12,US202605260005,28,14:00,14:30,班,on_duty
US00001,2026-06-12,US202605260005,29,14:30,15:00,班,on_duty
US00001,2026-06-12,US202605260005,30,15:00,15:30,班,on_duty
US00001,2026-06-12,US202605260005,31,15:30,16:00,班,on_duty
US00001,2026-06-12,US202605260005,32,16:00,16:30,班,on_duty
US00001,2026-06-12,US202605260005,33,16:30,17:00,班,on_duty
US00001,2026-06-12,US202605260005,34,17:00,17:30,班,on_duty
US00001,2026-06-12,US202605260005,35,17:30,18:00,班,on_duty
US00001,2026-06-12,US202605260005,36,18:00,18:30,休,rest
US00001,2026-06-12,US202605260005,37,18:30,19:00,休,rest
US00001,2026-06-12,US202605260005,38,19:00,19:30,班,on_duty
US00001,2026-06-12,US202605260005,39,19:30,20:00,班,on_duty
US00001,2026-06-12,US202605260005,40,20:00,20:30,班,on_duty
US00001,2026-06-12,US202605260005,41,20:30,21:00,班,on_duty
US00001,2026-06-12,US202605260005,42,21:00,21:30,班,on_duty
US00001,2026-06-12,US202605260005,43,21:30,22:00,班,on_duty
US00001,2026-06-13,US202506260003,12,06:00,06:30,班,on_duty
US00001,2026-06-13,US202506260003,13,06:30,07:00,班,on_duty
US00001,2026-06-13,US202506260003,14,07:00,07:30,班,on_duty
US00001,2026-06-13,US202506260003,15,07:30,08:00,班,on_duty
US00001,2026-06-13,US202506260003,16,08:00,08:30,班,on_duty
US00001,2026-06-13,US202506260003,17,08:30,09:00,班,on_duty
US00001,2026-06-13,US202506260003,18,09:00,09:30,班,on_duty
US00001,2026-06-13,US202506260003,19,09:30,10:00,班,on_duty
US00001,2026-06-13,US202506260003,20,10:00,10:30,班,on_duty
US00001,2026-06-13,US202506260003,21,10:30,11:00,休,rest
US00001,2026-06-13,US202506260003,22,11:00,11:30,休,rest
US00001,2026-06-13,US202506260003,23,11:30,12:00,班,on_duty
US00001,2026-06-13,US202506260003,24,12:00,12:30,班,on_duty
US00001,2026-06-13,US202506260003,25,12:30,13:00,班,on_duty
US00001,2026-06-13,US202506260003,26,13:00,13:30,班,on_duty
US00001,2026-06-13,US202506260003,27,13:30,14:00,班,on_duty
US00001,2026-06-13,US202506260003,28,14:00,14:30,班,on_duty
US00001,2026-06-13,US202507090006,12,06:00,06:30,班,on_duty
US00001,2026-06-13,US202507090006,13,06:30,07:00,班,on_duty
US00001,2026-06-13,US202507090006,14,07:00,07:30,班,on_duty
US00001,2026-06-13,US202507090006,15,07:30,08:00,班,on_duty
US00001,2026-06-13,US202507090006,16,08:00,08:30,班,on_duty
US00001,2026-06-13,US202507090006,17,08:30,09:00,班,on_duty
US00001,2026-06-13,US202507090006,18,09:00,09:30,班,on_duty
US00001,2026-06-13,US202507090006,19,09:30,10:00,班,on_duty
US00001,2026-06-13,US202507090006,20,10:00,10:30,休,rest
US00001,2026-06-13,US202507090006,21,10:30,11:00,休,rest
US00001,2026-06-13,US202507090006,22,11:00,11:30,班,on_duty
US00001,2026-06-13,US202507090006,23,11:30,12:00,班,on_duty
US00001,2026-06-13,US202507090006,24,12:00,12:30,班,on_duty
US00001,2026-06-13,US202507090006,25,12:30,13:00,班,on_duty
US00001,2026-06-13,US202507090006,26,13:00,13:30,班,on_duty
US00001,2026-06-13,US202510140004,27,13:30,14:00,班,on_duty
US00001,2026-06-13,US202510140004,28,14:00,14:30,班,on_duty
US00001,2026-06-13,US202510140004,29,14:30,15:00,班,on_duty
US00001,2026-06-13,US202510140004,30,15:00,15:30,班,on_duty
US00001,2026-06-13,US202510140004,31,15:30,16:00,班,on_duty
US00001,2026-06-13,US202510140004,32,16:00,16:30,班,on_duty
US00001,2026-06-13,US202510140004,33,16:30,17:00,班,on_duty
US00001,2026-06-13,US202510140004,34,17:00,17:30,休,rest
US00001,2026-06-13,US202510140004,35,17:30,18:00,休,rest
US00001,2026-06-13,US202510140004,36,18:00,18:30,班,on_duty
US00001,2026-06-13,US202510140004,37,18:30,19:00,班,on_duty
US00001,2026-06-13,US202510140004,38,19:00,19:30,班,on_duty
US00001,2026-06-13,US202510140004,39,19:30,20:00,班,on_duty
US00001,2026-06-13,US202510140004,40,20:00,20:30,班,on_duty
US00001,2026-06-13,US202510140004,41,20:30,21:00,班,on_duty
US00001,2026-06-13,US202510140004,42,21:00,21:30,班,on_duty
US00001,2026-06-13,US202510140004,43,21:30,22:00,班,on_duty
US00001,2026-06-13,US202602240007,27,13:30,14:00,班,on_duty
US00001,2026-06-13,US202602240007,28,14:00,14:30,班,on_duty
US00001,2026-06-13,US202602240007,29,14:30,15:00,班,on_duty
US00001,2026-06-13,US202602240007,30,15:00,15:30,班,on_duty
US00001,2026-06-13,US202602240007,31,15:30,16:00,班,on_duty
US00001,2026-06-13,US202602240007,32,16:00,16:30,班,on_duty
US00001,2026-06-13,US202602240007,33,16:30,17:00,班,on_duty
US00001,2026-06-13,US202602240007,34,17:00,17:30,班,on_duty
US00001,2026-06-13,US202602240007,35,17:30,18:00,休,rest
US00001,2026-06-13,US202602240007,36,18:00,18:30,休,rest
US00001,2026-06-13,US202602240007,37,18:30,19:00,班,on_duty
US00001,2026-06-13,US202602240007,38,19:00,19:30,班,on_duty
US00001,2026-06-13,US202602240007,39,19:30,20:00,班,on_duty
US00001,2026-06-13,US202602240007,40,20:00,20:30,班,on_duty
US00001,2026-06-13,US202602240007,41,20:30,21:00,班,on_duty
US00001,2026-06-13,US202602240007,42,21:00,21:30,班,on_duty
US00001,2026-06-13,US202602240007,43,21:30,22:00,班,on_duty
US00001,2026-06-13,US202605190012,21,10:30,11:00,班,on_duty
US00001,2026-06-13,US202605190012,22,11:00,11:30,班,on_duty
US00001,2026-06-13,US202605190012,23,11:30,12:00,班,on_duty
US00001,2026-06-13,US202605190012,24,12:00,12:30,班,on_duty
US00001,2026-06-13,US202605190012,25,12:30,13:00,班,on_duty
US00001,2026-06-13,US202605190012,26,13:00,13:30,班,on_duty
US00001,2026-06-13,US202605190012,27,13:30,14:00,休,rest
US00001,2026-06-13,US202605190012,28,14:00,14:30,班,on_duty
US00001,2026-06-13,US202605190012,29,14:30,15:00,班,on_duty
US00001,2026-06-13,US202605190012,30,15:00,15:30,班,on_duty
US00001,2026-06-13,US202605190012,31,15:30,16:00,班,on_duty
US00001,2026-06-13,US202605190012,32,16:00,16:30,班,on_duty
US00001,2026-06-13,US202605190012,33,16:30,17:00,班,on_duty
US00001,2026-06-13,US202605190012,34,17:00,17:30,班,on_duty
US00001,2026-06-13,US202605190012,35,17:30,18:00,班,on_duty
US00001,2026-06-13,US202605190012,36,18:00,18:30,班,on_duty
US00001,2026-06-13,US202605190012,37,18:30,19:00,班,on_duty
US00001,2026-06-13,US202605260005,27,13:30,14:00,班,on_duty
US00001,2026-06-13,US202605260005,28,14:00,14:30,班,on_duty
US00001,2026-06-13,US202605260005,29,14:30,15:00,班,on_duty
US00001,2026-06-13,US202605260005,30,15:00,15:30,班,on_duty
US00001,2026-06-13,US202605260005,31,15:30,16:00,班,on_duty
US00001,2026-06-13,US202605260005,32,16:00,16:30,班,on_duty
US00001,2026-06-13,US202605260005,33,16:30,17:00,班,on_duty
US00001,2026-06-13,US202605260005,34,17:00,17:30,班,on_duty
US00001,2026-06-13,US202605260005,35,17:30,18:00,班,on_duty
US00001,2026-06-13,US202605260005,36,18:00,18:30,班,on_duty
US00001,2026-06-13,US202605260005,37,18:30,19:00,休,rest
US00001,2026-06-13,US202605260005,38,19:00,19:30,休,rest
US00001,2026-06-13,US202605260005,39,19:30,20:00,班,on_duty
US00001,2026-06-13,US202605260005,40,20:00,20:30,班,on_duty
US00001,2026-06-13,US202605260005,41,20:30,21:00,班,on_duty
US00001,2026-06-13,US202605260005,42,21:00,21:30,班,on_duty
US00001,2026-06-13,US202605260005,43,21:30,22:00,班,on_duty
US00001,2026-06-14,US202506260003,12,06:00,06:30,班,on_duty
US00001,2026-06-14,US202506260003,13,06:30,07:00,班,on_duty
US00001,2026-06-14,US202506260003,14,07:00,07:30,班,on_duty
US00001,2026-06-14,US202506260003,15,07:30,08:00,班,on_duty
US00001,2026-06-14,US202506260003,16,08:00,08:30,班,on_duty
US00001,2026-06-14,US202506260003,17,08:30,09:00,休,rest
US00001,2026-06-14,US202506260003,18,09:00,09:30,休,rest
US00001,2026-06-14,US202506260003,19,09:30,10:00,班,on_duty
US00001,2026-06-14,US202506260003,20,10:00,10:30,班,on_duty
US00001,2026-06-14,US202506260003,21,10:30,11:00,班,on_duty
US00001,2026-06-14,US202506260003,22,11:00,11:30,班,on_duty
US00001,2026-06-14,US202506260003,23,11:30,12:00,班,on_duty
US00001,2026-06-14,US202506260003,24,12:00,12:30,班,on_duty
US00001,2026-06-14,US202506260003,25,12:30,13:00,班,on_duty
US00001,2026-06-14,US202506260003,26,13:00,13:30,班,on_duty
US00001,2026-06-14,US202506260003,27,13:30,14:00,班,on_duty
US00001,2026-06-14,US202506260003,28,14:00,14:30,班,on_duty
US00001,2026-06-14,US202507090006,12,06:00,06:30,班,on_duty
US00001,2026-06-14,US202507090006,13,06:30,07:00,班,on_duty
US00001,2026-06-14,US202507090006,14,07:00,07:30,班,on_duty
US00001,2026-06-14,US202507090006,15,07:30,08:00,班,on_duty
US00001,2026-06-14,US202507090006,16,08:00,08:30,班,on_duty
US00001,2026-06-14,US202507090006,17,08:30,09:00,班,on_duty
US00001,2026-06-14,US202507090006,18,09:00,09:30,班,on_duty
US00001,2026-06-14,US202510140004,27,13:30,14:00,班,on_duty
US00001,2026-06-14,US202510140004,28,14:00,14:30,班,on_duty
US00001,2026-06-14,US202510140004,29,14:30,15:00,班,on_duty
US00001,2026-06-14,US202510140004,30,15:00,15:30,班,on_duty
US00001,2026-06-14,US202510140004,31,15:30,16:00,班,on_duty
US00001,2026-06-14,US202510140004,32,16:00,16:30,班,on_duty
US00001,2026-06-14,US202510140004,33,16:30,17:00,休,rest
US00001,2026-06-14,US202510140004,34,17:00,17:30,休,rest
US00001,2026-06-14,US202510140004,35,17:30,18:00,班,on_duty
US00001,2026-06-14,US202510140004,36,18:00,18:30,班,on_duty
US00001,2026-06-14,US202510140004,37,18:30,19:00,班,on_duty
US00001,2026-06-14,US202510140004,38,19:00,19:30,班,on_duty
US00001,2026-06-14,US202510140004,39,19:30,20:00,班,on_duty
US00001,2026-06-14,US202510140004,40,20:00,20:30,班,on_duty
US00001,2026-06-14,US202510140004,41,20:30,21:00,班,on_duty
US00001,2026-06-14,US202510140004,42,21:00,21:30,班,on_duty
US00001,2026-06-14,US202510140004,43,21:30,22:00,班,on_duty
US00001,2026-06-14,US202512220008,27,13:30,14:00,班,on_duty
US00001,2026-06-14,US202512220008,28,14:00,14:30,班,on_duty
US00001,2026-06-14,US202512220008,29,14:30,15:00,班,on_duty
US00001,2026-06-14,US202512220008,30,15:00,15:30,班,on_duty
US00001,2026-06-14,US202512220008,31,15:30,16:00,班,on_duty
US00001,2026-06-14,US202512220008,32,16:00,16:30,班,on_duty
US00001,2026-06-14,US202512220008,33,16:30,17:00,班,on_duty
US00001,2026-06-14,US202512220008,34,17:00,17:30,休,rest
US00001,2026-06-14,US202512220008,35,17:30,18:00,休,rest
US00001,2026-06-14,US202512220008,36,18:00,18:30,班,on_duty
US00001,2026-06-14,US202512220008,37,18:30,19:00,班,on_duty
US00001,2026-06-14,US202512220008,38,19:00,19:30,班,on_duty
US00001,2026-06-14,US202512220008,39,19:30,20:00,班,on_duty
US00001,2026-06-14,US202512220008,40,20:00,20:30,班,on_duty
US00001,2026-06-14,US202512220008,41,20:30,21:00,班,on_duty
US00001,2026-06-14,US202512220008,42,21:00,21:30,班,on_duty
US00001,2026-06-14,US202512220008,43,21:30,22:00,班,on_duty
US00001,2026-06-14,US202602240007,27,13:30,14:00,班,on_duty
US00001,2026-06-14,US202602240007,28,14:00,14:30,班,on_duty
US00001,2026-06-14,US202602240007,29,14:30,15:00,班,on_duty
US00001,2026-06-14,US202602240007,30,15:00,15:30,班,on_duty
US00001,2026-06-14,US202602240007,31,15:30,16:00,班,on_duty
US00001,2026-06-14,US202602240007,32,16:00,16:30,班,on_duty
US00001,2026-06-14,US202602240007,33,16:30,17:00,班,on_duty
US00001,2026-06-14,US202602240007,34,17:00,17:30,班,on_duty
US00001,2026-06-14,US202602240007,35,17:30,18:00,班,on_duty
US00001,2026-06-14,US202602240007,36,18:00,18:30,休,rest
US00001,2026-06-14,US202602240007,37,18:30,19:00,休,rest
US00001,2026-06-14,US202602240007,38,19:00,19:30,班,on_duty
US00001,2026-06-14,US202602240007,39,19:30,20:00,班,on_duty
US00001,2026-06-14,US202602240007,40,20:00,20:30,班,on_duty
US00001,2026-06-14,US202602240007,41,20:30,21:00,班,on_duty
US00001,2026-06-14,US202602240007,42,21:00,21:30,班,on_duty
US00001,2026-06-14,US202602240007,43,21:30,22:00,班,on_duty
US00001,2026-06-14,US202605120007,17,08:30,09:00,班,on_duty
US00001,2026-06-14,US202605120007,18,09:00,09:30,班,on_duty
US00001,2026-06-14,US202605120007,19,09:30,10:00,班,on_duty
US00001,2026-06-14,US202605120007,20,10:00,10:30,班,on_duty
US00001,2026-06-14,US202605120007,21,10:30,11:00,班,on_duty
